Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,21,PHI,NBA,SG,72,71,2701,452,1091,.414,93,292,.318,359,799,.449,.457,387,518,.747,90,175,265,278,76,79,252,179,1384
1996-97,22,PHI,NBA,SG,81,81,3166,533,1308,.407,102,342,.298,431,966,.446,.446,511,667,.766,156,182,338,253,93,63,316,219,1679
1997-98,23,TOT,NBA,SG-SF,79,37,2545,424,975,.435,47,195,.241,377,780,.483,.459,354,450,.787,105,161,266,241,89,59,224,175,1249
1999-00,25,DET,NBA,SG,82,82,3148,619,1447,.428,83,288,.288,536,1159,.462,.456,618,758,.815,118,197,315,365,103,36,311,188,1939
2000-01,26,DET,NBA,SG,80,80,3215,774,1927,.402,166,473,.351,608,1454,.418,.445,666,810,.822,99,216,315,410,97,54,326,160,2380
2001-02,27,DET,NBA,SF,76,76,2685,524,1319,.397,86,300,.287,438,1019,.430,.430,495,577,.858,77,238,315,403,77,37,266,163,1629
2002-03,28,WAS,NBA,SG,70,70,2747,491,1201,.409,71,245,.290,420,956,.439,.438,455,518,.878,61,197,258,316,65,28,193,130,1508
2004-05,30,DAL,NBA,SG,56,7,1617,274,662,.414,32,120,.267,242,542,.446,.438,253,298,.849,38,145,183,127,53,10,106,104,833
2005-06,31,DAL,NBA,SG,55,11,1525,242,603,.401,36,130,.277,206,473,.436,.431,195,221,.882,32,121,153,160,37,10,121,96,715
2006-07,32,DAL,NBA,SF,67,8,1615,280,654,.428,62,162,.383,218,492,.443,.476,182,215,.847,39,106,145,187,51,10,117,78,804
2007-08,33,DAL,NBA,SG,58,13,1412,213,526,.405,60,184,.326,153,342,.447,.462,132,148,.892,33,100,133,145,28,10,86,82,618
2009-10,35,MIL,NBA,SG,42,0,855,129,316,.408,45,130,.346,84,186,.452,.479,55,69,.797,19,81,100,70,21,9,66,56,358
